"","genus_species","species","genus","family","order","class","redlistCategory","publications","citations","journals","articles","reviews","years_publishing","h","m","i10","h5"
"82","Macropus irma","irma","Macropus","Macropodidae","Diprotodontia","Mammalia","Least Concern",11,136,9,10,1,24,7,0.292,6,0
"83","Macropus parma","parma","Macropus","Macropodidae","Diprotodontia","Mammalia","Near Threatened",54,611,29,51,1,49,15,0.306,27,2
"84","Macropus parryi","parryi","Macropus","Macropodidae","Diprotodontia","Mammalia","Least Concern",29,486,20,27,2,186,14,0.075,19,0
"85","Macropus robustus","robustus","Macropus","Macropodidae","Diprotodontia","Mammalia","Least Concern",161,3493,85,156,4,69,30,0.435,102,4
"86","Macropus rufogriseus","rufogriseus","Macropus","Macropodidae","Diprotodontia","Mammalia","Least Concern",238,3381,125,234,1,46,30,0.652,116,5
"87","Macropus rufus","rufus","Macropus","Macropodidae","Diprotodontia","Mammalia","Least Concern",316,5656,142,292,14,61,39,0.639,178,5
"88","Macrotis lagotis","lagotis","Macrotis","Thylacomyidae","Peramelemorphia","Mammalia","Vulnerable",130,2389,57,117,9,46,27,0.587,70,7
"89","Microperoryctes aplini","aplini","Microperoryctes","Peramelidae","Peramelemorphia","Mammalia","Vulnerable",1,12,1,1,0,17,1,0.059,1,0
"90","Microperoryctes longicauda","longicauda","Microperoryctes","Peramelidae","Peramelemorphia","Mammalia","Least Concern",2,59,2,2,0,31,2,0.065,2,0
"91","Microperoryctes murina","murina","Microperoryctes","Peramelidae","Peramelemorphia","Mammalia","Vulnerable",1,12,1,1,0,17,1,0.059,1,0
"92","Microperoryctes papuensis","papuensis","Microperoryctes","Peramelidae","Peramelemorphia","Mammalia","Least Concern",0,0,0,0,0,NA,0,0,0,0
"93","Murexia habbema","habbema","Murexia","Dasyuridae","Dasyuromorphia","Mammalia","Least Concern",1,3,1,1,0,11,1,0.091,0,0
"94","Murexia longicaudata","longicaudata","Murexia","Dasyuridae","Dasyuromorphia","Mammalia","Least Concern",8,83,5,8,0,32,3,0.094,3,1
"95","Murexia melanurus","melanurus","Murexia","Dasyuridae","Dasyuromorphia","Mammalia","Least Concern",1,3,1,1,0,11,1,0.091,0,0
"96","Murexia naso","naso","Murexia","Dasyuridae","Dasyuromorphia","Mammalia","Least Concern",1,3,1,1,0,11,1,0.091,0,0
"97","Murexia rothschildi","rothschildi","Murexia","Dasyuridae","Dasyuromorphia","Mammalia","Near Threatened",2,20,1,2,0,14,1,0.071,1,1
"98","Myoictis melas","melas","Myoictis","Dasyuridae","Dasyuromorphia","Mammalia","Least Concern",2,12,2,2,0,24,2,0.083,0,0
"99","Myoictis wallacei","wallacei","Myoictis","Dasyuridae","Dasyuromorphia","Mammalia","Least Concern",2,12,2,2,0,20,2,0.1,0,0
"100","Myrmecobius fasciatus","fasciatus","Myrmecobius","Myrmecobiidae","Dasyuromorphia","Mammalia","Endangered",53,1102,34,52,1,93,18,0.194,27,3
"101","Neophascogale lorentzii","lorentzii","Neophascogale","Dasyuridae","Dasyuromorphia","Mammalia","Least Concern",2,17,2,2,0,17,1,0.059,1,1
"102","Ningaui ridei","ridei","Ningaui","Dasyuridae","Dasyuromorphia","Mammalia","Least Concern",7,295,4,7,0,35,6,0.171,5,0
